"kaupverd";"teg_eign";"svfn";"byggar";"efstah";"haednr";"fjibmhl";"fjmib";"lyfta";"birtm2";"fjhaed";"fjbkar";"fjsturt";"fjklos";"fjeld";"fjherb";"fjstof";"fjgeym";"matssvaedi";"undirmatssvaedi"
23000;"Íbúðareign";0;"1989";1;1;2;1;0;74.4;1;1;1;1;1;2;1;1;120;0
30500;"Íbúðareign";0;"2001";3;3;6;1;0;121.8;1;1;0;1;1;1;2;1;110;0
16000;"Íbúðareign";0;"1941";2;0;6;1;0;59.5;1;0;1;1;1;1;1;1;72;0
28800;"Íbúðareign";0;"1958";3;1;4;1;0;119.8;1;1;0;1;1;3;2;0;100;0
18000;"Íbúðareign";0;"1967";3;2;8;1;0;110;1;1;0;1;1;2;1;0;200;0
18748;"Íbúðareign";0;"1983";2;1;6;1;0;56.2;1;1;0;1;1;1;1;1;72;0
31000;"Íbúðareign";0;"1956";2;1;2;1;0;140.8;2;1;0;1;1;5;2;1;281;0
22500;"Íbúðareign";0;"1948";3;0;4;1;0;85.5;1;1;0;1;1;1;2;0;80;0
14500;"Íbúðareign";0;"1967";3;1;8;1;0;72;1;0;1;1;1;1;1;0;200;0
24900;"Íbúðareign";0;"1967";3;3;7;1;0;125.7;2;1;0;1;1;4;1;0;200;0
31100;"Íbúðareign";1000;"1997";5;4;14;1;0;158.6;2;1;0;1;1;5;1;1;340;0
22600;"Íbúðareign";0;"1998";3;2;4;1;0;94.3;1;1;0;1;1;2;1;1;130;0
22300;"Íbúðareign";0;"1995";2;2;2;1;0;87.2;1;1;0;1;1;3;1;1;130;0
35750;"Íbúðareign";1300;"2004";4;1;37;1;4;116.8;1;1;0;1;1;3;1;0;510;0
25750;"Íbúðareign";1400;"2001";2;1;4;1;0;108.8;1;1;0;1;1;2;1;0;640;0
12900;"Íbúðareign";0;"1953";2;0;6;1;0;40.8;1;0;1;1;1;1;1;0;100;1
12500;"Íbúðareign";0;"1973";7;3;34;1;1;62.4;1;1;0;1;1;1;1;1;160;0
25000;"Raðhús";2000;"1960";2;1;1;1;0;179.9;2;1;0;2;1;4;1;0;2050;0
33000;"Einbýlishús";2000;"1965";1;1;1;1;0;207.3;1;1;1;2;1;3;2;0;2050;0
24900;"Íbúðareign";0;"1949";2;2;3;1;0;95.7;1;1;0;1;1;2;2;1;70;0
28160;"Íbúðareign";0;"1991";5;3;26;1;1;84.8;1;0;1;1;1;2;1;1;280;0
15700;"Íbúðareign";0;"1983";6;4;15;1;0;51.9;1;1;0;1;1;1;1;1;72;0
